zb_url,zb_zbmc,zb_yxlx,zb_fjmc,zb_gkrs
https://www.douyu.com/1719183,刘小又,英雄联盟,刘小又：国服第一克烈！峡谷之巅！,5202
https://www.douyu.com/244110,AutumnmemoriesNan,英雄联盟,,1.1万
https://www.douyu.com/dongzhu,洞主丨歌神洞庭湖,英雄联盟,,49.8万
https://www.douyu.com/dushuren,誓约中二约,英雄联盟,,15.7万
https://www.douyu.com/suannaijun,酸酸酸奶君,绝地求生,酸奶:乌兹98K哒哒哒哒哒砰,4.2万
https://www.douyu.com/2140934,老皮历险记,主机游戏,老皮皮教你爆屠龙宝刀,1901
https://www.douyu.com/718133,十月船长丶,英雄联盟,,1.3万
https://www.douyu.com/lols7,英雄联盟官方赛事,英雄联盟,S7全球总决赛小组赛A组重播,51万
https://www.douyu.com/1746151,巨头毒纪,英雄联盟,毒纪上单：制裁峡谷之巅顶尖局,21.6万
https://www.douyu.com/xianfan,仙凡哥哥丶,英雄联盟,仙凡：当前版本最强上分英雄,11.8万
https://www.douyu.com/jinggege1,Jing靖哥哥,绝地求生,冷酷无情！大开杀戒！,5.7万
https://www.douyu.com/56040,主播油条,绝地求生,"条：上海网咖线下直播,破外挂传言。",80.4万
https://www.douyu.com/78561,妃凌雪,绝地求生,雪MM：单排吃鸡小美女,62.8万
https://www.douyu.com/284550,正版管子,主机游戏,【管子】来了·另类搞笑高能主播,7
https://www.douyu.com/cave,超级小桀,主机游戏,我可能玩了假的马里奥,14.6万
https://www.douyu.com/315173,澄海3c晨曦,魔兽争霸,,1.3万
https://www.douyu.com/lolff,solofeng解说丶,英雄联盟,SoloFeng 峡谷之巅排位赛！,10万
https://www.douyu.com/qingwa666,CD锤石创始人青蛙,英雄联盟,青蛙：炸弹人+日女  平行四边形对线,6.6万
https://www.douyu.com/baofengob,暴风OB,英雄联盟,老陈:北美第一瑞文boxbox浪B鱼尾文,3.5万
https://www.douyu.com/We1less,韦神,绝地求生,下午训练也直播，但没节目效果哦,50.5万
https://www.douyu.com/lapi/member/pmt/webJumpFromList?info=e8ecpP1ZNL0yWELTmhh/nXYIsdjA5NFezlOSHNThokqmYhwJNTLLuEE,純陽i,绝地求生,【死亡巴士】祝自己25岁生日快乐！,88
https://www.douyu.com/84452,主播阿飞,主机游戏,阿飞）环世界 最高难度 不读档,13万
https://www.douyu.com/yinzitv,寅子,主机游戏,索尼活动《GT》试玩,11.5万
https://www.douyu.com/69752,十三三三,主机游戏,十三：附身2 梦魇难度,5.7万
https://www.douyu.com/wushugame,老吴叔啊,魔兽争霸,,2874
https://www.douyu.com/1406763,qpw796,魔兽争霸,,1114
https://www.douyu.com/liondadi,大帝LioN,魔兽争霸,科多吞英雄~上岛上山下盆地~大帝直播！,9227
https://www.douyu.com/222015,尘逸,英雄联盟,国服第一天使 科比打法教你无脑上钻1打5,3.5万
https://www.douyu.com/780824,神威仙大将军,英雄联盟,最强死神，崛起于微末，王于巅,3.3万
https://www.douyu.com/fzz1,风中追风Fzz1,英雄联盟,峡谷之巅继续上分~,3.2万
https://www.douyu.com/625651,飞飞Fighting,绝地求生,飞飞：日常成盒,32.8万
https://www.douyu.com/70231,恶魔qq,绝地求生,四盒小队-落地吃鸡,28.8万
https://www.douyu.com/687423,yjjimpaopao,绝地求生,暴雪区四骚,14.6万
https://www.douyu.com/NB211319,NB211莉莉ZHOULINLI,绝地求生,211:2点训练赛！锤锤锤,11.5万
https://www.douyu.com/nvliu,女流66,主机游戏,GT sport 线下活动,4.1万
https://www.douyu.com/whysodiao,午夜抹抹茶,主机游戏,80432的直播间,4万
https://www.douyu.com/laowuji,老乌鸡LWJ,主机游戏,老乌鸡 直播 这游戏我是萌新,9739
https://www.douyu.com/FQQ,fqqxiaoz,魔兽争霸,【FQQ】我们都回不去了~,6282
https://www.douyu.com/945816,我叫荀公子,魔兽争霸,推荐好玩rpg给主播，发你红包~,4449
https://www.douyu.com/LGDGameing,TBQ逃跑权,英雄联盟,峡谷之巅王者700分,2.7万
https://www.douyu.com/329364,老阳解说,英雄联盟,骚阳：您的ADC专属导师！,2.4万
https://www.douyu.com/152571,东北卡特龙,英雄联盟,主播免费上分！没有任何条件丫,2万
https://www.douyu.com/967306,伍幺玖,绝地求生,我有762子弹 给我98K,6.2万
https://www.douyu.com/3168536,Xleft小叮当,绝地求生,【iG_XDD】想偷学技术？点进来,5.7万
https://www.douyu.com/NewFar,新远NewFar,绝地求生,【新远】24小时15鸡 少一鸡100红包,5.3万
https://www.douyu.com/229743,主播秋山澪丶,主机游戏,秋山澪⭐荒野大镖客,8999
https://www.douyu.com/Rushgg,RushGG,主机游戏,经典模式（最高难度），马上通关,6076
https://www.douyu.com/459911,Carry灬凯凯,主机游戏,生化4 李三光进村找王寡妇 欢乐凯,5927
https://www.douyu.com/1904007,思钱想厚丶阿杰,魔兽争霸,（经典）防守： RPG，战三国，生存TD,3003
https://www.douyu.com/656474,opopophuhu,魔兽争霸,魔兽精彩比赛回顾，再看一场就睡觉,2602
https://www.douyu.com/feiting,war3玩家飞艇imba,魔兽争霸,日常开枪局,2424
https://www.douyu.com/35954,恶魔神,英雄联盟,国服第一瑞兹！比赛最火的英雄！,2万
https://www.douyu.com/zhouge,Zhou_,英雄联盟,舟：点击成为野区霸主,1.7万
https://www.douyu.com/632386,刺杀王者劫,英雄联盟,国 服 第 一 骚 劫 ！,1.7万
https://www.douyu.com/423544,青蛙ob,英雄联盟,世界第一OB间：10王者局，40分钟质量局,1.5万
https://www.douyu.com/Ameimei,阿妹妹o,绝地求生,【阿妹妹】唱唱歌 成成盒,4.6万
https://www.douyu.com/2461752,47号Gamer,绝地求生,马牛逼：与我有缘圆你梦想,4万
https://www.douyu.com/xiaojiuanan,小九安安,绝地求生,不善言辞表达，藏在心里便是,3.5万
https://www.douyu.com/blxf,百里大叔,主机游戏,百里大叔:风神翼龙,4831
https://www.douyu.com/67761,晓月梧桐,主机游戏,“客厅游戏、娱乐、评测”,4499
https://www.douyu.com/feishi,肥尸,主机游戏,【肥】我肥来辣~,4003
https://www.douyu.com/1168302,叫我低调就好了,魔兽争霸,丛林肉搏：天冷了，记得脱件衣服。,2204
https://www.douyu.com/550795,绝版刁丝,魔兽争霸,搞事情！搞事情！搞事情！！！！！！！！,2146
https://www.douyu.com/331641,China阿东,魔兽争霸,ImBa 东「直播」红包上车~,2143
https://www.douyu.com/891464,太原马超丶,英雄联盟,随即中单之王，顶尖高手中的高手,1.4万
